,title,category,authors,date,summary
14,Study on the risk-informed heuristic of decision-making on the restoration of defaulted corporation networks,Theoretical Economics,Jiajia Xia,28-March-2023,"Government-run (Government-led) restoration has become a common and effective
approach to the mitigation of financial risks triggered by corporation credit
defaults. However, in practice, it is often challenging to come up with the
optimal plan of those restorations, due to the massive search space associated
with defaulted corporation networks (DCNs), as well as the dynamic and looped
interdependence among the recovery of those individual corporations. To address
such a challenge, this paper proposes an array of viable heuristics of the
decision-making that drives those restoration campaigns. To examine their
applicability and measure their performance, those heuristics have been applied
to two real-work DCNs that consists of 100 listed Chinese A-share companies,
whose restoration has been modelled based on the 2021 financial data, in the
wake of randomly generated default scenarios. The corresponding simulation
outcome of the case-study shows that the restoration of the DCNs would be
significantly influenced by the different heuristics adopted, and in
particular, the system-oriented heuristic is revealed to be significantly
outperforming those individual corporation-oriented ones. Therefore, such a
research has further highlighted that the interdependence-induced risk
propagation shall be accounted for by the decision-makers, whereby a prompt and
effective restoration campaign of DCNs could be shaped."
15,Fine-tuning ClimateBert transformer with ClimaText for the disclosure analysis of climate-related financial risks,Computation and Language,Eduardo C. Garrido-Merchán; Cristina González-Barthe; María Coronado Vaca,21-March-2023,"In recent years there has been a growing demand from financial agents,
especially from particular and institutional investors, for companies to report
on climate-related financial risks. A vast amount of information, in text
format, can be expected to be disclosed in the short term by firms in order to
identify these types of risks in their financial and non financial reports,
particularly in response to the growing regulation that is being passed on the
matter. To this end, this paper applies state-of-the-art NLP techniques to
achieve the detection of climate change in text corpora. We use transfer
learning to fine-tune two transformer models, BERT and ClimateBert -a recently
published DistillRoBERTa-based model that has been specifically tailored for
climate text classification-. These two algorithms are based on the transformer
architecture which enables learning the contextual relationships between words
in a text. We carry out the fine-tuning process of both models on the novel
Clima-Text database, consisting of data collected from Wikipedia, 10K Files
Reports and web-based claims. Our text classification model obtained from the
ClimateBert fine-tuning process on ClimaText, outperforms the models created
with BERT and the current state-of-the-art transformer in this particular
problem. Our study is the first one to implement on the ClimaText database the
recently published ClimateBert algorithm. Based on our results, it can be said
that ClimateBert fine-tuned on ClimaText is an outstanding tool within the NLP
pre-trained transformer models that may and should be used by investors,
institutional agents and companies themselves to monitor the disclosure of
climate risk in financial reports. In addition, our transfer learning
methodology is cheap in computational terms, thus allowing any organization to
perform it."
16,"Quantum Monte Carlo simulations for financial risk analytics: scenario generation for equity, rate, and credit risk factors",Quantum Physics,Titos Matsakos; Stuart Nield,16-March-2023,"Monte Carlo (MC) simulations are widely used in financial risk management,
from estimating value-at-risk (VaR) to pricing over-the-counter derivatives.
However, they come at a significant computational cost due to the number of
scenarios required for convergence. Quantum MC (QMC) algorithms are a promising
alternative: they provide a quadratic speed-up as compared to their classical
counterparts. Recent studies have explored the calculation of common risk
measures and the optimisation of QMC algorithms by initialising the input
quantum states with pre-computed probability distributions. In this paper, we
focus on incorporating scenario generation into the quantum computation by
simulating the evolution of risk factors over time. Specifically, we assemble
quantum circuits that implement stochastic models for equity (geometric
Brownian motion), interest rate (mean-reversion models), and credit (structural
and reduced-form credit models) risk factors. We then feed these scenarios to
QMC simulations to provide end-to-end examples for both market and credit risk
use cases."
17,DEDGAT: Dual Embedding of Directed Graph Attention Networks for Detecting Financial Risk,Machine Learning,Jiafu Wu; Mufeng Yao; Dong Wu; Mingmin Chi; Baokun Wang; Ruofan Wu; Xin Fu; Changhua Meng; Weiqiang Wang,06-March-2023,"Graph representation plays an important role in the field of financial risk
control, where the relationship among users can be constructed in a graph
manner. In practical scenarios, the relationships between nodes in risk control
tasks are bidirectional, e.g., merchants having both revenue and expense
behaviors. Graph neural networks designed for undirected graphs usually
aggregate discriminative node or edge representations with an attention
strategy, but cannot fully exploit the out-degree information when used for the
tasks built on directed graph, which leads to the problem of a directional
bias. To tackle this problem, we propose a Directed Graph ATtention network
called DGAT, which explicitly takes out-degree into attention calculation. In
addition to having directional requirements, the same node might have different
representations of its input and output, and thus we further propose a dual
embedding of DGAT, referred to as DEDGAT. Specifically, DEDGAT assigns
in-degree and out-degree representations to each node and uses these two
embeddings to calculate the attention weights of in-degree and out-degree
nodes, respectively. Experiments performed on the benchmark datasets show that
DGAT and DEDGAT obtain better classification performance compared to undirected
GAT. Also,the visualization results demonstrate that our methods can fully use
both in-degree and out-degree information."
18,Optimal probabilistic forecasts for risk management,Statistical Finance,Yuru Sun; Worapree Maneesoonthorn; Ruben Loaiza-Maya; Gael M. Martin,03-March-2023,"This paper explores the implications of producing forecast distributions that
are optimized according to scoring rules that are relevant to financial risk
management. We assess the predictive performance of optimal forecasts from
potentially misspecified models for i) value-at-risk and expected shortfall
predictions; and ii) prediction of the VIX volatility index for use in hedging
strategies involving VIX futures. Our empirical results show that calibrating
the predictive distribution using a score that rewards the accurate prediction
of extreme returns improves the VaR and ES predictions. Tail-focused predictive
distributions are also shown to yield better outcomes in hedging strategies
using VIX futures."
19,GRANDE: a neural model over directed multigraphs with application to anti-money laundering,Machine Learning,Ruofan Wu; Boqun Ma; Hong Jin; Wenlong Zhao; Weiqiang Wang; Tianyi Zhang,04-February-2023,"The application of graph representation learning techniques to the area of
financial risk management (FRM) has attracted significant attention recently.
However, directly modeling transaction networks using graph neural models
remains challenging: Firstly, transaction networks are directed multigraphs by
nature, which could not be properly handled with most of the current
off-the-shelf graph neural networks (GNN). Secondly, a crucial problem in FRM
scenarios like anti-money laundering (AML) is to identify risky transactions
and is most naturally cast into an edge classification problem with rich
edge-level features, which are not fully exploited by the prevailing GNN design
that follows node-centric message passing protocols. In this paper, we present
a systematic investigation of design aspects of neural models over directed
multigraphs and develop a novel GNN protocol that overcomes the above
challenges via efficiently incorporating directional information, as well as
proposing an enhancement that targets edge-related tasks using a novel message
passing scheme over an extension of edge-to-node dual graph. A concrete GNN
architecture called GRANDE is derived using the proposed protocol, with several
further improvements and generalizations to temporal dynamic graphs. We apply
the GRANDE model to both a real-world anti-money laundering task and public
datasets. Experimental evaluations show the superiority of the proposed GRANDE
architecture over recent state-of-the-art models on dynamic graph modeling and
directed graph modeling."
20,Predicting the Silent Majority on Graphs: Knowledge Transferable Graph Neural Network,Machine Learning,Wendong Bi; Bingbing Xu; Xiaoqian Sun; Li Xu; Huawei Shen; Xueqi Cheng,02-February-2023,"Graphs consisting of vocal nodes (""the vocal minority"") and silent nodes
(""the silent majority""), namely VS-Graph, are ubiquitous in the real world. The
vocal nodes tend to have abundant features and labels. In contrast, silent
nodes only have incomplete features and rare labels, e.g., the description and
political tendency of politicians (vocal) are abundant while not for ordinary
people (silent) on the twitter's social network. Predicting the silent majority
remains a crucial yet challenging problem. However, most existing
message-passing based GNNs assume that all nodes belong to the same domain,
without considering the missing features and distribution-shift between
domains, leading to poor ability to deal with VS-Graph. To combat the above
challenges, we propose Knowledge Transferable Graph Neural Network (KT-GNN),
which models distribution shifts during message passing and representation
learning by transferring knowledge from vocal nodes to silent nodes.
Specifically, we design the domain-adapted ""feature completion and message
passing mechanism"" for node representation learning while preserving domain
difference. And a knowledge transferable classifier based on KL-divergence is
followed. Comprehensive experiments on real-world scenarios (i.e., company
financial risk assessment and political elections) demonstrate the superior
performance of our method. Our source code has been open sourced."
21,Company-as-Tribe: Company Financial Risk Assessment on Tribe-Style Graph with Hierarchical Graph Neural Networks,Machine Learning,Wendong Bi; Bingbing Xu; Xiaoqian Sun; Zidong Wang; Huawei Shen; Xueqi Cheng,31-January-2023,"Company financial risk is ubiquitous and early risk assessment for listed
companies can avoid considerable losses. Traditional methods mainly focus on
the financial statements of companies and lack the complex relationships among
them. However, the financial statements are often biased and lagged, making it
difficult to identify risks accurately and timely. To address the challenges,
we redefine the problem as \textbf{company financial risk assessment on
tribe-style graph} by taking each listed company and its shareholders as a
tribe and leveraging financial news to build inter-tribe connections. Such
tribe-style graphs present different patterns to distinguish risky companies
from normal ones. However, most nodes in the tribe-style graph lack attributes,
making it difficult to directly adopt existing graph learning methods (e.g.,
Graph Neural Networks(GNNs)). In this paper, we propose a novel Hierarchical
Graph Neural Network (TH-GNN) for Tribe-style graphs via two levels, with the
first level to encode the structure pattern of the tribes with contrastive
learning, and the second level to diffuse information based on the inter-tribe
relations, achieving effective and efficient risk assessment. Extensive
experiments on the real-world company dataset show that our method achieves
significant improvements on financial risk assessment over previous competing
methods. Also, the extensive ablation studies and visualization comprehensively
show the effectiveness of our method."
22,Leveraging Collaboration for Multifaceted Design and Product Teams: A Financial Perspective,Human-Computer Interaction,Esha Shandilya; Jacalyn DeFeo,26-December-2022,"Collaboration is a key driving force for a team's success. In this case
study, we discuss the collaboration practices of the Design Team and a subset
of product teams at Chatham Financial -- a financial risk management advisory
and technology firm. The Design Team's collaboration workflow has four key
elements surrounding the structure, cross-team communication, onboarding, and
feedback that occurs both in team and cross-team collaborative partnerships.
Each of the key elements leads to a unique set of challenges and opportunities
for the Design Team. We analyze the current state of each element, their value
proposition, challenges, and initiatives undertaken to make the collaboration
practice more robust"
23,Dynamic spending and portfolio decisions with a soft social norm,Theoretical Economics,Knut Anton Mork; Fabian Andsem Harang; Haakon Andreas Trønnes; Vegard Skonseng Bjerketvedt,20-December-2022,"We explore the implications of a preference ordering for an investor-consumer
with a strong preference for keeping consumption above an exogenous social
norm, but who is willing to tolerate occasional dips below it. We do this by
splicing two CRRA preference orderings, one with high curvature below the norm
and the other with low curvature at or above it. We find this formulation
appealing for many endowment funds and sovereign wealth funds, including the
Norwegian Government Pension Fund Global, which inspired our research. We solve
this model analytically as well as numerically and find that annual spending
should not only be significantly lower than the expected financial return, but
mostly also procyclical. In particular, financial losses should, as a rule, be
followed by larger than proportional spending cuts, except when some smoothing
is needed to keep spending from falling too far below the social norm. Yet, at
very low wealth levels, spending should be kept particularly low in order to
build sufficient wealth to raise consumption above the social norm. Financial
risk taking should also be modest and procyclical, so that the investor
sometimes may want to ""buy at the top"" and ""sell at the bottom"". Many of these
features are shared by habitformation models and other models with some lower
bound for consumption. However, our specification is more flexible and thus
more easily adaptable to actual fund management. The nonlinearity of the policy
functions may present challenges regarding delegation to professional managers.
However, simpler rules of thumb with constant or slowly moving equity share and
consumption-wealth ratio can reach almost the same expected discounted utility.
However, the constant levels will then look very different from the
implications of expected CRRA utility or Epstein-Zin preferences in that
consumption is much lower."
24,"Risk Theory and Pricing of ""Pay-for-Performance"" Business Models",Mathematical Finance,Roger Knecktys; Henrik Bette; Rüdiger Kiesel; Thomas Guhr,19-December-2022,"Technology trends as digitalization and Industry 4.0 initiate a growing
demand for new business models. Most of this models requires a fundamental
shift of operational and financial risks between seller and buyer. A key
question is therefore how to include additional risk pricing and hedging. In
this paper we propose a new approach for a risk theory of innovative
performance based business models as ""Pay-for-Performance"" or ""Product as a
Service"". A new model and calculation method for determination the risk premium
is presented. It contains beside financial price fluctuations also operational
failure behaviour of products. We apply the model for a typical industrial
application and simulate the pricing dependency for different cost
distributions."
25,Financial Risk Management on a Neutral Atom Quantum Processor,Quantum Physics,Lucas Leclerc; Luis Ortiz-Guitierrez; Sebastian Grijalva; Boris Albrecht; Julia R. K. Cline; Vincent E. Elfving; Adrien Signoles; Loïc Henriet; Gianni Del Bimbo; Usman Ayub Sheikh; Maitree Shah; Luc Andrea; Faysal Ishtiaq; Andoni Duarte; Samuel Mugel; Irene Caceres; Michel Kurek; Roman Orus; Achraf Seddik; Oumaima Hammammi; Hacene Isselnane; Didier M'tamon,06-December-2022,"Machine Learning models capable of handling the large datasets collected in
the financial world can often become black boxes expensive to run. The quantum
computing paradigm suggests new optimization techniques, that combined with
classical algorithms, may deliver competitive, faster and more interpretable
models. In this work we propose a quantum-enhanced machine learning solution
for the prediction of credit rating downgrades, also known as fallen-angels
forecasting in the financial risk management field. We implement this solution
on a neutral atom Quantum Processing Unit with up to 60 qubits on a real-life
dataset. We report competitive performances against the state-of-the-art Random
Forest benchmark whilst our model achieves better interpretability and
comparable training times. We examine how to improve performance in the
near-term validating our ideas with Tensor Networks-based numerical
simulations."
