,title,category,authors,date,summary
10,SafeAR: Towards Safer Algorithmic Recourse by Risk-Aware Policies,Machine Learning,Haochen Wu; Shubham Sharma; Sunandita Patra; Sriram Gopalakrishnan,23-August-2023,"With the growing use of machine learning (ML) models in critical domains such
as finance and healthcare, the need to offer recourse for those adversely
affected by the decisions of ML models has become more important; individuals
ought to be provided with recommendations on actions to take for improving
their situation and thus receive a favorable decision. Prior work on sequential
algorithmic recourse -- which recommends a series of changes -- focuses on
action feasibility and uses the proximity of feature changes to determine
action costs. However, the uncertainties of feature changes and the risk of
higher than average costs in recourse have not been considered. It is
undesirable if a recourse could (with some probability) result in a worse
situation from which recovery requires an extremely high cost. It is essential
to incorporate risks when computing and evaluating recourse. We call the
recourse computed with such risk considerations as Safer Algorithmic Recourse
(SafeAR). The objective is to empower people to choose a recourse based on
their risk tolerance. In this work, we discuss and show how existing recourse
desiderata can fail to capture the risk of higher costs. We present a method to
compute recourse policies that consider variability in cost and connect
algorithmic recourse literature with risk-sensitive reinforcement learning. We
also adopt measures ``Value at Risk'' and ``Conditional Value at Risk'' from
the financial literature to summarize risk concisely. We apply our method to
two real-world datasets and compare policies with different levels of
risk-aversion using risk measures and recourse desiderata (sparsity and
proximity)."
11,Particle-in-cell Simulations of the Magnetorotational Instability in Stratified Shearing Boxes,High Energy Astrophysical Phenomena,Astor Sandoval; Mario Riquelme; Anatoly Spitkovsky; Fabio Bacchini,23-August-2023,"The magnetorotational instability (MRI) plays a crucial role in regulating
the accretion efficiency in astrophysical accretion disks. In low-luminosity
disks around black holes, such as Sgr A* and M87, Coulomb collisions are
infrequent, making the MRI physics effectively collisionless. The collisionless
MRI gives rise to kinetic plasma effects that can potentially affect its
dynamic and thermodynamic properties. We present 2D and 3D particle-in-cell
(PIC) plasma simulations of the collisionless MRI in stratified disks using
shearing boxes with net vertical field. We use pair plasmas, with initial
$\beta=100$ and concentrate on sub-relativistic plasma temperatures ($k_BT
\lesssim mc^2$). Our 2D and 3D runs show disk expansion, particle and magnetic
field outflows, and a dynamo-like process. They also produce magnetic pressure
dominated disks with (Maxwell stress dominated) viscosity parameter $\alpha
\sim 0.5-1$. By the end of the simulations, the dynamo-like magnetic field
tends to dominate the magnetic energy and the viscosity in the disks. Our 2D
and 3D runs produce fairly similar results, and are also consistent with
previous 3D MHD simulations. Our simulations also show nonthermal particle
acceleration, approximately characterized by power-law tails with temperature
dependent spectral indices $-p$. For temperatures $k_BT \sim 0.05-0.3\, mc^2$,
we find $p\approx 2.2-1.9$. The maximum accelerated particle energy depends on
the scale separation between MHD and Larmor-scale plasma phenomena in a way
consistent with previous PIC results of magnetic reconnection-driven
acceleration. Our study constitutes a first step towards modeling from first
principles potentially observable stratified MRI effects in low-luminosity
accretion disks around black holes."
12,Learning to Learn Financial Networks for Optimising Momentum Strategies,Portfolio Management,Xingyue Pu; Stefan Zohren; Stephen Roberts; Xiaowen Dong,23-August-2023,"Network momentum provides a novel type of risk premium, which exploits the
interconnections among assets in a financial network to predict future returns.
However, the current process of constructing financial networks relies heavily
on expensive databases and financial expertise, limiting accessibility for
small-sized and academic institutions. Furthermore, the traditional approach
treats network construction and portfolio optimisation as separate tasks,
potentially hindering optimal portfolio performance. To address these
challenges, we propose L2GMOM, an end-to-end machine learning framework that
simultaneously learns financial networks and optimises trading signals for
network momentum strategies. The model of L2GMOM is a neural network with a
highly interpretable forward propagation architecture, which is derived from
algorithm unrolling. The L2GMOM is flexible and can be trained with diverse
loss functions for portfolio performance, e.g. the negative Sharpe ratio.
Backtesting on 64 continuous future contracts demonstrates a significant
improvement in portfolio profitability and risk control, with a Sharpe ratio of
1.74 across a 20-year period."
13,Rationally Correcting Impurity Levels Positions Based on Electrostatic Potential Strategy for Photocatalytic Overall Water Splitting,Materials Science,Dazhong Sun; Wentao Li; Anqi Shi; Wenxia Zhang; Huabing Shu; Fengfeng Chi; Bing Wang; Xiuyun Zhang; Xianghong Niu,23-August-2023,"Doping to induce suitable impurity levels is an effective strategy to achieve
highly efficient photocatalytic overall water splitting (POWS). However, to
predict the position of impurity levels, it is not enough to only depend on the
projected density of states of the substituted atom in the traditional method.
Herein, taking in phosphorus-doped g-C3N5 as a sample, we find that the
impurity atom can change electrostatic potential gradient and polarity, then
significantly affect the spatial electron density around the substituted atom,
which further adjusts the impurity level position. Based on the redox potential
requirement of POWS, we not only obtain suitable impurity levels, but also
expand the visible light absorption range. Simultaneously, the strengthened
polarity induced by doping further improve the redox ability of photogenerated
carriers. Moreover, the enhanced surface dipoles obviously promote the
adsorption and subsequent splitting of water molecules. Our study provides a
more comprehensive view to realize accurate regulation of impurity levels in
doping engineering and gives reasonable strategies for designing an excellent
catalyst of POWS."
14,Quantum-Noise-driven Generative Diffusion Models,Quantum Physics,Marco Parigi; Stefano Martina; Filippo Caruso,23-August-2023,"Generative models realized with machine learning techniques are powerful
tools to infer complex and unknown data distributions from a finite number of
training samples in order to produce new synthetic data. Diffusion models are
an emerging framework that have recently overcome the performance of the
generative adversarial networks in creating synthetic text and high-quality
images. Here, we propose and discuss the quantum generalization of diffusion
models, i.e., three quantum-noise-driven generative diffusion models that could
be experimentally tested on real quantum systems. The idea is to harness unique
quantum features, in particular the non-trivial interplay among coherence,
entanglement and noise that the currently available noisy quantum processors do
unavoidably suffer from, in order to overcome the main computational burdens of
classical diffusion models during inference. Hence, we suggest to exploit
quantum noise not as an issue to be detected and solved but instead as a very
remarkably beneficial key ingredient to generate much more complex probability
distributions that would be difficult or even impossible to express
classically, and from which a quantum processor might sample more efficiently
than a classical one. Therefore, our results are expected to pave the way for
new quantum-inspired or quantum-based generative diffusion algorithms
addressing more powerfully classical tasks as data generation/prediction with
widespread real-world applications ranging from climate forecasting to
neuroscience, from traffic flow analysis to financial forecasting."
15,Advances in the nested soft-collinear subtraction scheme,High Energy Physics - Phenomenology,Chiara Signorile-Signorile; Davide Maria Tagliabue,23-August-2023,"We discuss a path toward the generalisation of the nested soft-collinear
subtraction scheme to arbitrary $2\rightarrow n$ processes. The scheme is
designed to provide an efficient and process-independent procedure to extract
and regulate infrared (IR) singularities arising from unresolved real radiation
and combine them with explicit singularities in virtual corrections. The new
approach is based on a reorganisation of the relevant subtraction terms into
simple combinations of a relatively small number of recurring structures. This
strategy leads to a drastic reduction in the computational effort required to
derive integrated subtraction terms, while preserving the full generality of
the scheme. We believe that this approach will allow for tackling the issue of
regularising IR divergences at next-to-next-to-leading order in the strong
coupling constant for arbitrary, multi-parton processes."
16,Open Questions about the Visualization of Sociodemographic Data,Human-Computer Interaction,Florent Cabric; Margrét Vilborg Bjarnadóttir; Anne-Flore Cabouat; Petra Isenberg,23-August-2023,"This paper collects a set of open research questions on how to visualize
sociodemographic data. Sociodemographic data is a common part of datasets
related to people, including institutional censuses, health data systems, and
human-resources fles. This data is sensitive, and its collection, sharing, and
analysis require careful consideration. For instance, the European Union,
through the General Data Protection Regulation (GDPR), protects the collection
and processing of any personal data, including sexual orientation, ethnicity,
and religion. Data visualization of sociodemographic data can reinforce
stereotypes, marginalize groups, and lead to biased decision-making. It is,
therefore, critical that these visualizations are created based on good,
equitable design principles. In this paper, we discuss and provide a set of
open research questions around the visualization of sociodemographic data. Our
work contributes to an ongoing refection on representing data about people and
highlights some important future research directions for the VIS community. A
version of this paper and its fgures are available online at osf.io/a2u9c."
17,Retail Demand Forecasting: A Comparative Study for Multivariate Time Series,Machine Learning,Md Sabbirul Haque; Md Shahedul Amin; Jonayet Miah,23-August-2023,"Accurate demand forecasting in the retail industry is a critical determinant
of financial performance and supply chain efficiency. As global markets become
increasingly interconnected, businesses are turning towards advanced prediction
models to gain a competitive edge. However, existing literature mostly focuses
on historical sales data and ignores the vital influence of macroeconomic
conditions on consumer spending behavior. In this study, we bridge this gap by
enriching time series data of customer demand with macroeconomic variables,
such as the Consumer Price Index (CPI), Index of Consumer Sentiment (ICS), and
unemployment rates. Leveraging this comprehensive dataset, we develop and
compare various regression and machine learning models to predict retail demand
accurately."
18,Model-free Learning with Heterogeneous Dynamical Systems: A Federated LQR Approach,Optimization and Control,Han Wang; Leonardo F. Toso; Aritra Mitra; James Anderson,22-August-2023,"We study a model-free federated linear quadratic regulator (LQR) problem
where M agents with unknown, distinct yet similar dynamics collaboratively
learn an optimal policy to minimize an average quadratic cost while keeping
their data private. To exploit the similarity of the agents' dynamics, we
propose to use federated learning (FL) to allow the agents to periodically
communicate with a central server to train policies by leveraging a larger
dataset from all the agents. With this setup, we seek to understand the
following questions: (i) Is the learned common policy stabilizing for all
agents? (ii) How close is the learned common policy to each agent's own optimal
policy? (iii) Can each agent learn its own optimal policy faster by leveraging
data from all agents? To answer these questions, we propose a federated and
model-free algorithm named FedLQR. Our analysis overcomes numerous technical
challenges, such as heterogeneity in the agents' dynamics, multiple local
updates, and stability concerns. We show that FedLQR produces a common policy
that, at each iteration, is stabilizing for all agents. We provide bounds on
the distance between the common policy and each agent's local optimal policy.
Furthermore, we prove that when learning each agent's optimal policy, FedLQR
achieves a sample complexity reduction proportional to the number of agents M
in a low-heterogeneity regime, compared to the single-agent setting."
19,Knowledge Graph Prompting for Multi-Document Question Answering,Computation and Language,Yu Wang; Nedim Lipka; Ryan A. Rossi; Alexa Siu; Ruiyi Zhang; Tyler Derr,22-August-2023,"The 'pre-train, prompt, predict' paradigm of large language models (LLMs) has
achieved remarkable success in open-domain question answering (OD-QA). However,
few works explore this paradigm in the scenario of multi-document question
answering (MD-QA), a task demanding a thorough understanding of the logical
associations among the contents and structures of different documents. To fill
this crucial gap, we propose a Knowledge Graph Prompting (KGP) method to
formulate the right context in prompting LLMs for MD-QA, which consists of a
graph construction module and a graph traversal module. For graph construction,
we create a knowledge graph (KG) over multiple documents with nodes symbolizing
passages or document structures (e.g., pages/tables), and edges denoting the
semantic/lexical similarity between passages or intra-document structural
relations. For graph traversal, we design an LM-guided graph traverser that
navigates across nodes and gathers supporting passages assisting LLMs in MD-QA.
The constructed graph serves as the global ruler that regulates the
transitional space among passages and reduces retrieval latency. Concurrently,
the LM-guided traverser acts as a local navigator that gathers pertinent
context to progressively approach the question and guarantee retrieval quality.
Extensive experiments underscore the efficacy of KGP for MD-QA, signifying the
potential of leveraging graphs in enhancing the prompt design for LLMs. Our
code is at https://github.com/YuWVandy/KG-LLM-MDQA."
20,Decision-Making for Land Conservation: A Derivative-Free Optimization Framework with Nonlinear Inputs,Optimization and Control,Cassidy K. Buhler; Hande Y. Benson,22-August-2023,"Protected areas (PAs) are designated spaces where human activities are
restricted to preserve critical habitats. Decision-makers are challenged with
balancing a trade-off of financial feasibility with ecological benefit when
establishing PAs. Given the long-term ramifications of these decisions and the
constantly shifting environment, it is crucial that PAs are carefully selected
with long-term viability in mind.
  Using AI tools like simulation and optimization is common for designating
PAs, but current decision models are primarily linear. In this paper, we
propose a derivative-free optimization framework paired with a nonlinear
component, population viability analysis (PVA). Formulated as a mixed integer
nonlinear programming (MINLP) problem, our model allows for linear and
nonlinear inputs. Connectivity, competition, crowding, and other similar
concerns are handled by the PVA software, rather than expressed as constraints
of the optimization model. In addition, we present numerical results that serve
as a proof of concept, showing our models yield PAs with similar expected risk
to that of preserving every parcel in a habitat, but at a significantly lower
cost.
  The overall goal is to promote interdisciplinary work by providing a new
mathematical programming tool for conservationists that allows for nonlinear
inputs and can be paired with existing ecological software."
21,Designing an attack-defense game: how to increase robustness of financial transaction models via a competition,Machine Learning,Alexey Zaytsev; Alex Natekin; Evgeni Vorsin; Valerii Smirnov; Georgii Smirnov; Oleg Sidorshin; Alexander Senin; Alexander Dudin; Dmitry Berestnev,22-August-2023,"Given the escalating risks of malicious attacks in the finance sector and the
consequential severe damage, a thorough understanding of adversarial strategies
and robust defense mechanisms for machine learning models is critical. The
threat becomes even more severe with the increased adoption in banks more
accurate, but potentially fragile neural networks. We aim to investigate the
current state and dynamics of adversarial attacks and defenses for neural
network models that use sequential financial data as the input.
  To achieve this goal, we have designed a competition that allows realistic
and detailed investigation of problems in modern financial transaction data.
The participants compete directly against each other, so possible attacks and
defenses are examined in close-to-real-life conditions. Our main contributions
are the analysis of the competition dynamics that answers the questions on how
important it is to conceal a model from malicious users, how long does it take
to break it, and what techniques one should use to make it more robust, and
introduction additional way to attack models or increase their robustness.
  Our analysis continues with a meta-study on the used approaches with their
power, numerical experiments, and accompanied ablations studies. We show that
the developed attacks and defenses outperform existing alternatives from the
literature while being practical in terms of execution, proving the validity of
the competition as a tool for uncovering vulnerabilities of machine learning
models and mitigating them in various domains."
22,ROSGPT_Vision: Commanding Robots Using Only Language Models' Prompts,Robotics,Bilel Benjdira; Anis Koubaa; Anas M. Ali,22-August-2023,"In this paper, we argue that the next generation of robots can be commanded
using only Language Models' prompts. Every prompt interrogates separately a
specific Robotic Modality via its Modality Language Model (MLM). A central Task
Modality mediates the whole communication to execute the robotic mission via a
Large Language Model (LLM). This paper gives this new robotic design pattern
the name of: Prompting Robotic Modalities (PRM). Moreover, this paper applies
this PRM design pattern in building a new robotic framework named
ROSGPT_Vision. ROSGPT_Vision allows the execution of a robotic task using only
two prompts: a Visual and an LLM prompt. The Visual Prompt extracts, in natural
language, the visual semantic features related to the task under consideration
(Visual Robotic Modality). Meanwhile, the LLM Prompt regulates the robotic
reaction to the visual description (Task Modality). The framework automates all
the mechanisms behind these two prompts. The framework enables the robot to
address complex real-world scenarios by processing visual data, making informed
decisions, and carrying out actions automatically. The framework comprises one
generic vision module and two independent ROS nodes. As a test application, we
used ROSGPT_Vision to develop CarMate, which monitors the driver's distraction
on the roads and makes real-time vocal notifications to the driver. We showed
how ROSGPT_Vision significantly reduced the development cost compared to
traditional methods. We demonstrated how to improve the quality of the
application by optimizing the prompting strategies, without delving into
technical details. ROSGPT_Vision is shared with the community (link:
https://github.com/bilel-bj/ROSGPT_Vision) to advance robotic research in this
direction and to build more robotic frameworks that implement the PRM design
pattern and enables controlling robots using only prompts."
23,NLP-based detection of systematic anomalies among the narratives of consumer complaints,Statistics Methodology,Peiheng Gao; Ning Sun; Xuefeng Wang; Chen Yang; Ričardas Zitikis,22-August-2023,"We develop an NLP-based procedure for detecting systematic nonmeritorious
consumer complaints, simply called systematic anomalies, among complaint
narratives. While classification algorithms are used to detect pronounced
anomalies, in the case of smaller and frequent systematic anomalies, the
algorithms may falter due to a variety of reasons, including technical ones as
well as natural limitations of human analysts. Therefore, as the next step
after classification, we convert the complaint narratives into quantitative
data, which are then analyzed using an algorithm for detecting systematic
anomalies. We illustrate the entire procedure using complaint narratives from
the Consumer Complaint Database of the Consumer Financial Protection Bureau."
24,PrAIoritize: Learning to Prioritize Smart Contract Bugs and Vulnerabilities,Software Engineering,Majd Soud; Grischa Liebel; Mohammad Hamdaqa,21-August-2023,"Smart contract vulnerabilities and bugs have become a key concern for
software engineers, as they can lead to significant financial losses,
reputational damage, and legal issues. Therefore, prioritizing bug fixing for
smart contracts is critical to maintaining trust. Due to the lack of tracking
tools, prioritizing smart contract-reported bugs is done manually, which is a
tedious task, limits bug triaging, and needs specialized knowledge. Towards
this end, we propose PrAIoritize; an automated approach for predicting smart
contract bug priorities that assist software engineers in prioritizing highly
urgent bug reports. PrAIoritize consists of two main phases: 1) automatic
labeling, which involves the automatic construction of a smart contract keyword
lexicon and the automatic assignment of priority levels to unlabeled bug
reports; 2) model construction, which involves feature engineering and designs
layers of feed-forward neural networks (FFNNs) and bidirectional long
short-term memory (BiLSTM) with multi-class classification to better capture
the features of the textual descriptions of bugs and predict their priority
levels. The model then is trained using smart contract bug reports collected
from two data sources: open-source software (OSS) projects available on GitHub
and NVD vulnerability database. Our evaluation demonstrates significant
improvement over state-of-the-art baselines and commonly used pre-trained
models (e.g. BERT) for similar classification tasks, with 5.75%-35.29% increase
in F-measure, precision, and recall."
25,FedDAT: An Approach for Foundation Model Finetuning in Multi-Modal Heterogeneous Federated Learning,Machine Learning,Haokun Chen; Yao Zhang; Denis Krompass; Jindong Gu; Volker Tresp,21-August-2023,"Recently, foundation models have exhibited remarkable advancements in
multi-modal learning. These models, equipped with millions (or billions) of
parameters, typically require a substantial amount of data for finetuning.
However, collecting and centralizing training data from diverse sectors becomes
challenging due to distinct privacy regulations. Federated Learning (FL)
emerges as a promising solution, enabling multiple clients to collaboratively
train neural networks without centralizing their local data. To alleviate
client computation burdens and communication overheads, previous works have
adapted Parameter-efficient Finetuning (PEFT) methods for FL. Hereby, only a
small fraction of the model parameters are optimized and communicated during
federated communications. Nevertheless, most previous works have focused on a
single modality and neglected one common phenomenon, i.e., the presence of data
heterogeneity across the clients. Therefore, in this work, we propose a
finetuning framework tailored to heterogeneous multi-modal FL, called Federated
Dual-Aadapter Teacher (FedDAT). Specifically, our approach leverages a
Dual-Adapter Teacher (DAT) to address data heterogeneity by regularizing the
client local updates and applying Mutual Knowledge Distillation (MKD) for an
efficient knowledge transfer. FedDAT is the first approach that enables an
efficient distributed finetuning of foundation models for a variety of
heterogeneous Vision-Language tasks. To demonstrate its effectiveness, we
conduct extensive experiments on four multi-modality FL benchmarks with
different types of data heterogeneity, where FedDAT substantially outperforms
the existing centralized PEFT methods adapted for FL."
