,title,category,authors,date,summary
10,A High-efficient Battery Charging System for Electric Vehicle,Systems and Control,Zexuan Li,09-August-2023,"Nowadays, automobile is facing the trend of electrification. Lithium-ion
batteries is widely used as their power supplies. Lithium-ion battery has
complex characteristics, as a result, Lithium-ion battery needs optimal
charging strategies to make sure it is charged safely and efficiently. This
paper focuses on development of a high-efficient charging method for
lithium-ion battery. To test different charging strategies, the electric
vehicle charging system consisting of a dual active bridge DC-DC converter and
a Thevenin battery model is implemented. Multistage constant current charging
(MSCC) and multistage constant current reflex charging (MSCC with reflex
charging) were proposed. Compared with the traditional constant voltage
constant current (CC-CV) charging method, MSCC can reduce 12% of the charging
time and 1.1% of the battery loss; MSCC with reflex charging has a 10.45% and a
1.54% reduction of charging time and battery loss separately."
11,On Data-Driven Modeling and Control in Modern Power Grids Stability: Survey and Perspective,Systems and Control,Xun Gong; Xiaozhe Wang; Bo Cao,07-August-2023,"Modern power grids are fast evolving with the increasing volatile renewable
generation, distributed energy resources (DERs) and time-varying operating
conditions. The DERs include rooftop photovoltaic (PV), small wind turbines,
energy storages, flexible loads, electric vehicles (EVs), etc. The grid control
is confronted with low inertia, uncertainty and nonlinearity that challenge the
operation security, efficacy and efficiency. The ongoing digitization of power
grids provides opportunities to address the challenges with data-driven and
control. This paper provides a comprehensive review of emerging data-driven
dynamical modeling and control methods and their various applications in power
grid. Future trends are also discussed based on advances in data-driven
control."
12,Exploring Different Time-series-Transformer (TST) Architectures: A Case Study in Battery Life Prediction for Electric Vehicles (EVs),Machine Learning,Niranjan Sitapure; Atharva Kulkarni,07-August-2023,"In recent years, battery technology for electric vehicles (EVs) has been a
major focus, with a significant emphasis on developing new battery materials
and chemistries. However, accurately predicting key battery parameters, such as
state-of-charge (SOC) and temperature, remains a challenge for constructing
advanced battery management systems (BMS). Existing battery models do not
comprehensively cover all parameters affecting battery performance, including
non-battery-related factors like ambient temperature, cabin temperature,
elevation, and regenerative braking during EV operation. Due to the difficulty
of incorporating these auxiliary parameters into traditional models, a
data-driven approach is suggested. Time-series-transformers (TSTs), leveraging
multiheaded attention and parallelization-friendly architecture, are explored
alongside LSTM models. Novel TST architectures, including encoder TST + decoder
LSTM and a hybrid TST-LSTM, are also developed and compared against existing
models. A dataset comprising 72 driving trips in a BMW i3 (60 Ah) is used to
address battery life prediction in EVs, aiming to create accurate TST models
that incorporate environmental, battery, vehicle driving, and heating circuit
data to predict SOC and battery temperature for future time steps."
13,Optimal battery thermal management for electric vehicles with battery degradation minimization,Systems and Control,Yue Wu; Zhiwu Huang; Dongjun Li; Heng Li; Jun Peng; Daniel Stroe; Ziyou Song,06-August-2023,"The control of a battery thermal management system (BTMS) is essential for
the thermal safety, energy efficiency, and durability of electric vehicles
(EVs) in hot weather. To address the battery cooling optimization problem, this
paper utilizes dynamic programming (DP) to develop an online rule-based control
strategy. Firstly, an electrical-thermal-aging model of the $\rm LiFePO_4$
battery pack is established. A control-oriented onboard BTMS model is proposed
and verified under different speed profiles and temperatures. Then in the DP
framework, a cost function consisting of battery aging cost and cooling-induced
electricity cost is minimized to obtain the optimal compressor power. By
exacting three rules ""fast cooling, slow cooling, and temperature-maintaining""
from the DP result, a near-optimal rule-based cooling strategy, which uses as
much regenerative energy as possible to cool the battery pack, is proposed for
online execution. Simulation results show that the proposed online strategy can
dramatically improve the driving economy and reduce battery degradation under
diverse operation conditions, achieving less than a 3% difference in battery
loss compared to the offline DP. Recommendations regarding battery cooling
under different real-world cases are finally provided."
14,"Prospects For A New Light-Nuclei, Fission-Fusion Energy Cycle",Physics and Society,R. V. Duncan; Cuikun Lin; Andrew K. Gillespie; John Gahl,02-August-2023,"Future advanced nuclear rocket propulsion, and the availability of new
nuclear power cycle designs, will benefit substantially from the large current
investment in alternative nuclear energy that is underway today. We propose a
new nuclear cycle which includes the primary fission of lithium-6, followed by
secondary fusion of deuterium and tritium, and a secondary fission of lithium-7
by tritium. This cycle does not produce nuclear waste from its nuclear fuel,
since all byproducts of these cascade reactions are stable, provided that the
triton production during the primary reaction is fully consumed in the
secondary reactions. This cycle may, however, activate surrounding technical
materials from its neutron flux. This light-element nuclear fuel is readily
obtained through the ongoing expansion of the lithium mining industry and
electric vehicle (EV) battery recycling industries."
15,A Real-Time Robust Ecological-Adaptive Cruise Control Strategy for Battery Electric Vehicles,Systems and Control,Sheng Yu; Xiao Pan; Anastasis Georgiou; Boli Chen; Imad M. Jaimoukha; Simos A. Evangelou,02-August-2023,"This work addresses the ecological-adaptive cruise control problem for
connected electric vehicles by a computationally efficient robust control
strategy. The problem is formulated in the space-domain with a realistic
description of the nonlinear electric powertrain model and motion dynamics to
yield a convex optimal control problem (OCP). The OCP is approached by a novel
robust model predictive control (RMPC) method handling various disturbances due
to modelling mismatch and inaccurate leading vehicle information. The RMPC
problem is solved by semi-definite programming relaxation and single linear
matrix inequality (sLMI) techniques for further enhanced computational
efficiency. The performance of the proposed real-time robust
ecological-adaptive cruise control (REACC) method is evaluated using an
experimentally collected driving cycle. Its robustness is verified by
comparison with a nominal MPC which is shown to result in speed-limit
constraint violations. The energy economy of the proposed method outperforms a
state-of-the-art time-domain RMPC scheme, as a more precisely fitted convex
powertrain model can be integrated into the space-domain scheme. The additional
comparison with a traditional constant distance following strategy (CDFS)
further verifies the effectiveness of the proposed REACC. Finally, it is
verified that the REACC can be potentially implemented in real-time owing to
the sLMI and resulting convex algorithm."
16,Integrating Optimal EV Charging in the Energy Management of Electric Railway Stations,Systems and Control,Georgia Pierrou; Gabriela Hug,02-August-2023,"In this paper, an electric railway Energy Management System (EMS) with
integration of an Energy Storage System (ESS), Regenerative Braking Energy
(RBE), and renewable generation is proposed to minimize the daily operating
costs of the railway station while meeting railway and Electric Vehicle (EV)
charging demand. Compared to other railway EMS methods, the proposed approach
integrates an optimal EV charging policy at the railway station to avoid high
power demand due to charging requirements. Specifically, receding horizon
control is leveraged to minimize the daily peak power spent on EV charging. The
numerical study on an actual railway station in Chur, Switzerland shows that
the proposed method that integrates railway demand and optimal EV charging
along with ESS, RBE, and renewable generation can significantly reduce the
average daily operating cost of the railway station over a large number of
different scenarios while ensuring that peak load capacity limits are
respected."
17,Artificial-Intelligence-Based Hybrid Extended Phase Shift Modulation for the Dual Active Bridge Converter with Full ZVS Range and Optimal Efficiency,Systems and Control,Xinze Li; Xin Zhang; Fanfan Lin; Changjiang Sun; Kezhi Mao,01-August-2023,"Dual active bridge (DAB) converter is the key enabler in many popular
applications such as wireless charging, electric vehicle and renewable energy.
ZVS range and efficiency are two significant performance indicators for DAB
converter. To obtain the desired ZVS and efficiency performance, modulation
should be carefully designed. Hybrid modulation considers several single
modulation strategies to achieve good comprehensive performance.
Conventionally, to design a hybrid modulation, harmonic approach or piecewise
approach is used, but they suffer from time-consuming model building process
and inaccuracy. Therefore, an artificial-intelligence-based hybrid extended
phase shift (HEPS) modulation is proposed. Generally, the HEPS modulation is
developed in an automated fashion, which alleviates cumbersome model building
process while keeping high model accuracy. In HEPS modulation, two EPS
strategies are considered to realize optimal efficiency with full ZVS operation
over entire operating ranges. Specifically, to build data-driven models of ZVS
and efficiency performance, extreme gradient boosting (XGBoost), which is a
state-of-the-art ensemble learning algorithm, is adopted. Afterwards, particle
swarm optimization with state-based adaptive velocity limit (PSO-SAVL) is
utilized to select the best EPS strategy and optimize modulation parameters.
With 1 kW hardware experiments, the feasibility of HEPS has been verified,
achieving optimal efficiency with maximum of 97.1% and full-range ZVS
operation."
18,Deep Reinforcement Learning-Based Battery Conditioning Hierarchical V2G Coordination for Multi-Stakeholder Benefits,Systems and Control,Yubao Zhang; Xin Chen; Yi Gu; Zhicheng Li; Wu Kai,01-August-2023,"With the growing prevalence of electric vehicles (EVs) and advancements in EV
electronics, vehicle-to-grid (V2G) techniques and large-scale scheduling
strategies have emerged to promote renewable energy utilization and power grid
stability. This study proposes a multi-stakeholder hierarchical V2G
coordination based on deep reinforcement learning (DRL) and the Proof of Stake
algorithm. Furthermore, the multi-stakeholders include the power grid, EV
aggregators (EVAs), and users, and the proposed strategy can achieve
multi-stakeholder benefits. On the grid side, load fluctuations and renewable
energy consumption are considered, while on the EVA side, energy constraints
and charging costs are considered. The three critical battery conditioning
parameters of battery SOX are considered on the user side, including state of
charge, state of power, and state of health. Compared with four typical
baselines, the multi-stakeholder hierarchical coordination strategy can enhance
renewable energy consumption, mitigate load fluctuations, meet the energy
demands of EVA, and reduce charging costs and battery degradation under
realistic operating conditions."
19,Robust Electric Vehicle Balancing of Autonomous Mobility-On-Demand System: A Multi-Agent Reinforcement Learning Approach,Multiagent Systems,Sihong He; Shuo Han; Fei Miao,30-July-2023,"Electric autonomous vehicles (EAVs) are getting attention in future
autonomous mobility-on-demand (AMoD) systems due to their economic and societal
benefits. However, EAVs' unique charging patterns (long charging time, high
charging frequency, unpredictable charging behaviors, etc.) make it challenging
to accurately predict the EAVs supply in E-AMoD systems. Furthermore, the
mobility demand's prediction uncertainty makes it an urgent and challenging
task to design an integrated vehicle balancing solution under supply and demand
uncertainties. Despite the success of reinforcement learning-based E-AMoD
balancing algorithms, state uncertainties under the EV supply or mobility
demand remain unexplored. In this work, we design a multi-agent reinforcement
learning (MARL)-based framework for EAVs balancing in E-AMoD systems, with
adversarial agents to model both the EAVs supply and mobility demand
uncertainties that may undermine the vehicle balancing solutions. We then
propose a robust E-AMoD Balancing MARL (REBAMA) algorithm to train a robust
EAVs balancing policy to balance both the supply-demand ratio and charging
utilization rate across the whole city. Experiments show that our proposed
robust method performs better compared with a non-robust MARL method that does
not consider state uncertainties; it improves the reward, charging utilization
fairness, and supply-demand fairness by 19.28%, 28.18%, and 3.97%,
respectively. Compared with a robust optimization-based method, the proposed
MARL algorithm can improve the reward, charging utilization fairness, and
supply-demand fairness by 8.21%, 8.29%, and 9.42%, respectively."
20,Artificial-Intelligence-Based Design for Circuit Parameters of Power Converters,Signal Processing,X. Li; X. Zhang; F. Lin; F. Blaabjerg,30-July-2023,"Parameter design is significant in ensuring a satisfactory holistic
performance of power converters. Generally, circuit parameter design for power
converters consists of two processes: analysis and deduction process and
optimization process. The existing approaches for parameter design consist of
two types: traditional approach and computer-aided optimization (CAO) approach.
In the traditional approaches, heavy human-dependence is required. Even though
the emerging CAO approaches automate the optimization process, they still
require manual analysis and deduction process. To mitigate human-dependence for
the sake of high accuracy and easy implementation, an
artificial-intelligence-based design (AI-D) approach is proposed in this
article for the parameter design of power converters. In the proposed AI-D
approach, to achieve automation in the analysis and deduction process,
simulation tools and batch-normalization neural network (BN-NN) are adopted to
build data-driven models for the optimization objectives and design
constraints. Besides, to achieve automation in the optimization process,
genetic algorithm is used to search for optimal design results. The proposed
AI-D approach is validated in the circuit parameter design of the synchronous
buck converter in the 48 to 12 V accessory-load power supply system in electric
vehicle. The design case of an efficiency-optimal synchronous buck converter
with constraints in volume, voltage ripple, and current ripple is provided. In
the end of this article, feasibility and accuracy of the proposed AI-D approach
have been validated by hardware experiments."
21,Symmetric separable convex resource allocation problems with structured disjoint interval bound constraints,Optimization and Control,Martijn H. H. Schoot Uiterkamp,28-July-2023,"Motivated by the problem of scheduling electric vehicle (EV) charging with a
minimum charging threshold in smart distribution grids, we introduce the
resource allocation problem (RAP) with a symmetric separable convex objective
function and disjoint interval bound constraints. In this RAP, the aim is to
allocate an amount of resource over a set of $n$ activities, where each
individual allocation is restricted to a disjoint collection of $m$ intervals.
This is a generalization of classical RAPs studied in the literature where in
contrast each allocation is only restricted by simple lower and upper bounds,
i.e., $m=1$. We propose an exact algorithm that, for four special cases of the
problem, returns an optimal solution in $O \left(\binom{n+m-2}{m-2} (n \log n +
nF) \right)$ time, where the term $nF$ represents the number of flops required
for one evaluation of the separable objective function. In particular, the
algorithm runs in polynomial time when the number of intervals $m$ is fixed.
Moreover, we show how this algorithm can be adapted to also output an optimal
solution to the problem with integer variables without increasing its time
complexity. Computational experiments demonstrate the practical efficiency of
the algorithm for small values of $m$ and in particular for solving EV charging
problems."
22,Bi-level Network Design for UAM Vertiport Allocation Using Activity-Based Transport Simulations,Multiagent Systems,Sebastian Brulin; Markus Olhofer,27-July-2023,"The design or the optimization of transport systems is a difficult task. This
is especially true in the case of the introduction of new transport modes in an
existing system. The main reason is, that even small additions and changes
result in the emergence of new travel patterns, likely resulting in an
adaptation of the travel behavior of multiple other agents in the system. Here
we consider the optimization of future Urban Air Mobility services under
consideration of effects induced by the new mode to an existing system. We
tackle this problem through a bi-level network design approach, in which the
discrete decisions of the network design planner are optimized based on the
evaluated dynamic demand of the user's mode choices. We solve the
activity-based network design problem (AB-NDP) using a Genetic Algorithm on a
multi-objective optimization problem while evaluating the dynamic demand with
the large-scale Multi-Agent Transport Simulation (MATSim) framework. The
proposed bi-level approach is compared against the results of a coverage
approach using a static demand method. The bi-level study shows better results
for expected UAM demand and total travel time savings across the transportation
system. Due to its generic character, the demonstrated utilization of a
bi-level method is applicable to other mobility service design questions and to
other regions."
23,Overcoming voltage fluctuation in electric vehicles by considering Al electrolytic capacitor-based voltage stabilizer,Systems and Control,Ida Hamidah; Doni Fajar Ramadhan; Ramdhani Ramdhani; Budi Mulyanti; Roer Eka Pawinanto; Lilik Hasanah; Asep Bayu Dani Nandiyanto; Jumril Yunas; Andrivo Rusydi,21-July-2023,"Battery pack used in electrical vehicles (EVs) have developed fastly nowadays
and are important due to its capability to stores electric charge. However, it
is still found that there is an electrical voltage fluctuations due to sudden
load changes or faults in the power system. To overcome this problem, the
conventional strategy focuses on using voltage stabilizer with
inductor-capacitor resonant circuits, leaving the problem of using capacitors
at cryogenic temperatures. Herewith, we design a vehicle automatic voltage
stabilizer (VAVS) operating at room temperature. The VAVS consists of nine main
components, including resistors, capacitors, transistors, and diodes arranged
with a specific composition to stabilize the voltage. By considering Al
electrolytic capacitor, type of diode, resistor, and transistor, the VAVS
device stabilizes the input voltage from 10-15V to obtain an output voltage of
12V. Then, by varying the engine rotation speed of vehicle, VAVS applied in
vehicle battery supplies a constant voltage of about 12.1 V. The lowest line
regulation analysis reveals a regulated voltage fluctuation of 0.17%/V. Our
result shows that VAVS design works at room temperature, overcomes the voltage
fluctuation and complies with the standard regulation of voltage stabilizers."
24,SMOTEC: An Edge Computing Testbed for Adaptive Smart Mobility Experimentation,"Distributed, Parallel, and Cluster Computing",Zeinab Nezami; Evangelos Pournaras; Amir Borzouie; Jie Xu,20-July-2023,"Smart mobility becomes paramount for meeting net-zero targets. However,
autonomous, self-driving and electric vehicles require more than ever before an
efficient, resilient and trustworthy computational offloading backbone that
expands throughout the edge-to-cloud continuum. Utilizing on-demand
heterogeneous computational resources for smart mobility is challenging and
often cost-ineffective. This paper introduces SMOTEC, a novel open-source
testbed for adaptive smart mobility experimentation with edge computing. SMOTEC
provides for the first time a modular end-to-end instrumentation for
prototyping and optimizing placement of intelligence services on edge devices
such as augmented reality and real-time traffic monitoring. SMOTEC supports a
plug-and-play Docker container integration of the SUMO simulator for urban
mobility, Raspberry Pi edge devices communicating via ZeroMQ and EPOS for an
AI-based decentralized load balancing across edge-to-cloud. All components are
orchestrated by the K3s lightweight Kubernetes. A proof-of-concept of
self-optimized service placements for traffic monitoring from Munich
demonstrates in practice the applicability and cost-effectiveness of SMOTEC."
25,Decentralized Smart Charging of Large-Scale EVs using Adaptive Multi-Agent Multi-Armed Bandits,Machine Learning,Sharyal Zafar; Raphaël Feraud; Anne Blavette; Guy Camilleri; Hamid Ben,20-July-2023,"The drastic growth of electric vehicles and photovoltaics can introduce new
challenges, such as electrical current congestion and voltage limit violations
due to peak load demands. These issues can be mitigated by controlling the
operation of electric vehicles i.e., smart charging. Centralized smart charging
solutions have already been proposed in the literature. But such solutions may
lack scalability and suffer from inherent drawbacks of centralization, such as
a single point of failure, and data privacy concerns. Decentralization can help
tackle these challenges. In this paper, a fully decentralized smart charging
system is proposed using the philosophy of adaptive multi-agent systems. The
proposed system utilizes multi-armed bandit learning to handle uncertainties in
the system. The presented system is decentralized, scalable, real-time,
model-free, and takes fairness among different players into account. A detailed
case study is also presented for performance evaluation."
